pres_dem_seats,sen_dem_seats,cut_edges,pres_eg,sen_eg,latino_districts
34,37,418,0.15639091224419008,0.1294745545965073,1
34,37,419,0.15639091224419008,0.1294745545965073,1
34,37,419,0.15639091224419008,0.1294745545965073,1
34,37,423,0.15639091224419008,0.1294745545965073,1
34,37,423,0.15639091224419008,0.1294745545965073,1
34,37,425,0.15639091224419008,0.1294745545965073,1
34,37,425,0.15639091224419008,0.1294745545965073,1
34,37,425,0.15639091224419008,0.1294745545965073,1
34,37,423,0.15639091224419008,0.1294745545965073,1
34,37,420,0.15639091224419008,0.1294745545965073,1
33,37,423,0.12279073250717372,0.1294745545965073,1
33,37,427,0.12279073250717372,0.1294745545965073,1
33,37,433,0.12279073250717372,0.1294745545965073,1
33,37,435,0.12215613470816385,0.1294745545965073,1
33,37,435,0.12215613470816385,0.1294745545965073,1
33,37,435,0.12215613470816385,0.1294745545965073,1
33,37,436,0.12448562103869076,0.1294745545965073,1
33,37,430,0.12448562103869076,0.1294745545965073,1
33,37,430,0.12448562103869076,0.1294745545965073,2
33,37,430,0.12448562103869076,0.1294745545965073,2
33,37,432,0.12448562103869076,0.1294745545965073,2
33,37,432,0.12448562103869076,0.1294745545965073,2
33,37,432,0.12448562103869076,0.1294745545965073,2
33,37,427,0.12448562103869076,0.1294745545965073,2
33,37,427,0.12448562103869076,0.1294745545965073,2
33,37,426,0.12448562103869076,0.1294745545965073,2
33,37,424,0.12509262762904802,0.1294745545965073,2
33,37,422,0.12686831898590484,0.1294745545965073,2
33,37,423,0.12686831898590484,0.1294745545965073,2
33,37,425,0.12686831898590484,0.1294745545965073,2
33,37,424,0.12686831898590484,0.1294745545965073,2
33,37,428,0.12686831898590484,0.1294745545965073,2
33,37,429,0.12686831898590484,0.1294745545965073,2
33,37,427,0.12686831898590484,0.1294745545965073,2
33,37,429,0.12686831898590484,0.1294745545965073,2
33,37,429,0.1257272254280579,0.1294745545965073,2
33,37,433,0.1257272254280579,0.12954548678735947,2
34,37,435,0.16387404219089963,0.12954548678735947,2
34,37,434,0.16387404219089963,0.12954548678735947,2
34,37,434,0.16387404219089963,0.12954548678735947,2
34,37,431,0.16387404219089963,0.12954548678735947,2
34,37,442,0.16387404219089963,0.12954548678735947,2
34,37,445,0.16387404219089963,0.12954548678735947,2
34,37,446,0.16387404219089963,0.12954548678735947,2
34,37,446,0.16387404219089963,0.12954548678735947,2
34,37,447,0.16387404219089963,0.12954548678735947,2
35,37,443,0.1945377290070318,0.12954548678735947,2
35,37,441,0.1945377290070318,0.12954548678735947,2
35,37,443,0.1945377290070318,0.12954548678735947,2
35,37,450,0.1945377290070318,0.12954548678735947,2
35,37,451,0.1945377290070318,0.12954548678735947,2
35,37,449,0.19949035096017406,0.12954548678735947,2
35,37,449,0.19949035096017406,0.12954548678735947,2
35,37,452,0.19949035096017406,0.12954548678735947,2
34,37,450,0.16020046983886735,0.12954548678735947,2
34,37,452,0.16020046983886735,0.12954548678735947,2
34,37,451,0.16020046983886735,0.12954548678735947,2
34,37,451,0.16020046983886735,0.12954548678735947,2
34,37,450,0.16020046983886735,0.12954548678735947,2
34,37,448,0.16020046983886735,0.12954548678735947,2
34,37,448,0.16020046983886735,0.12954548678735947,2
34,37,449,0.16020046983886735,0.12954548678735947,2
34,37,449,0.16020046983886735,0.12954548678735947,2
34,37,446,0.16020046983886735,0.12954548678735947,2
34,37,442,0.16020046983886735,0.12954548678735947,2
34,37,443,0.16020046983886735,0.12954548678735947,2
34,37,443,0.16020046983886735,0.12954548678735947,2
34,37,443,0.16020046983886735,0.12954548678735947,2
34,37,444,0.16020046983886735,0.12954548678735947,2
34,37,440,0.16020046983886735,0.12690072938558536,2
34,37,443,0.16020046983886735,0.12690072938558536,2
34,37,441,0.16020046983886735,0.12690072938558536,2
34,37,442,0.15667273673257023,0.12690072938558536,2
34,37,435,0.15667273673257023,0.12690072938558536,2
34,38,436,0.15667273673257023,0.16820150416777288,2
34,38,437,0.15667273673257023,0.16820150416777288,2
34,38,436,0.15667273673257023,0.16820150416777288,2
34,38,434,0.15609135055024753,0.16820150416777288,2
34,38,438,0.15609135055024753,0.16820150416777288,2
34,38,438,0.15609135055024753,0.16820150416777288,2
34,38,433,0.15609135055024753,0.16820150416777288,2
34,38,433,0.15609135055024753,0.16820150416777288,2
34,38,439,0.15609135055024753,0.16820150416777288,2
34,38,440,0.15609135055024753,0.16820150416777288,2
34,38,440,0.15609135055024753,0.16820150416777288,2
34,38,440,0.15609135055024753,0.16820150416777288,2
34,38,440,0.15609135055024753,0.16820150416777288,2
34,38,440,0.15609135055024753,0.16820150416777288,2
34,38,445,0.15819813641093558,0.16820150416777288,2
34,38,441,0.15819813641093558,0.16820150416777288,2
34,38,442,0.15819813641093558,0.16820150416777288,2
34,38,448,0.15819813641093558,0.16820150416777288,2
34,38,450,0.15819813641093558,0.16820150416777288,2
34,38,450,0.15819813641093558,0.16820150416777288,2
34,38,451,0.15819813641093558,0.16820150416777288,2
34,38,449,0.15819813641093558,0.16820150416777288,2
34,38,450,0.16031477627471383,0.16820150416777288,2
34,38,451,0.16031477627471383,0.16820150416777288,2
34,38,454,0.1616628038974553,0.16820150416777288,2
34,38,454,0.16101835209535523,0.16820150416777288,2
34,38,454,0.16101835209535523,0.16820150416777288,2
34,38,454,0.16101835209535523,0.16820150416777288,2
34,38,458,0.16101835209535523,0.16820150416777288,2
34,38,459,0.16101835209535523,0.16820150416777288,2
34,38,460,0.16101835209535523,0.16820150416777288,2
34,38,456,0.16101835209535523,0.16820150416777288,2
34,38,455,0.16101835209535523,0.16820150416777288,2
34,38,457,0.16101835209535523,0.16820150416777288,2
34,38,456,0.16101835209535523,0.16820150416777288,2
34,38,455,0.16101835209535523,0.16820150416777288,2
34,38,455,0.16101835209535523,0.16820150416777288,2
